,Gene Symbol,Interactor Symbol,Entrez ID,Evidence,Interactor Name,Uniport ID,Reference,Species,Interaction Type,edge,loci,loci-Gene-Symbol,loci-Interactor-Symbol
0,ABAT,ABAT,18,IP/WB,4-aminobutyrate aminotransferase,P80404,15528998,Homo sapiens,Protein Binding,"ABAT,ABAT",,16p13.2,16p13.2
1,ABAT,ASGR1,432,IP;     LC-MS/MS,Asialoglycoprotein receptor 1,P07306,26186194,Homo sapiens,Protein Binding,"ABAT,ASGR1",,16p13.2,0
2,ABAT,BAG3,9531,LC-MS/MS,BCL2-associated athanogene 3,O95817,23824909,Homo sapiens,Protein Binding,"ABAT,BAG3",,16p13.2,0
3,ABAT,C1ORF228,339541,IP;     LC-MS/MS,Uncharacterized protein C1orf228,Q6PIY5-2,26186194,Homo sapiens,Protein Binding,"ABAT,C1ORF228",,16p13.2,0
4,ABAT,CRK,1398,Peptide array target screening (PATS),v-crk sarcoma virus CT10 oncogene homolog (avian),P46108,17474147,Homo sapiens,Protein Binding,"ABAT,CRK",,16p13.2,0
5,ABAT,FMR1,2332,PAR-CLIP,fragile X mental retardation 1,G8JLE9,23235829,Homo sapiens,RNA Binding,"ABAT,FMR1",,16p13.2,Xq27.3
6,ABAT,SEC22C,9117,IP;     LC-MS/MS,SEC22 vesicle trafficking protein homolog C (S. cerevisiae),Q9BRL7,26186194,Homo sapiens,Protein Binding,"ABAT,SEC22C",,16p13.2,0
7,ABAT,ZSCAN29,146050,IP;     LC-MS/MS,zinc finger and SCAN domain containing 29,Q05BJ4,26186194,Homo sapiens,Protein Binding,"ABAT,ZSCAN29",,16p13.2,0
11,ACTN4,BMP7,655,Y2H;     bimolecular fluorescence complementation assay,bone morphogenetic protein 7,A8K571,25416956,Homo sapiens,Protein Binding,"ACTN4,BMP7",,19q13.2,0
12,ACTN4,MTBP,27085,IP/WB,Mdm2-binding protein,Q96DY7,25759210,Homo sapiens,Protein Binding,"ACTN4,MTBP",,19q13.2,0
13,ACTN4,MYOZ2,51778,Y2H;     bimolecular fluorescence complementation assay,myozenin 2,Q9NPC6,25416956,Homo sapiens,Protein Binding,"ACTN4,MYOZ2",,19q13.2,0
14,ACTN4,PDLIM1,9124,IP;     LC-MS/MS,PDZ and LIM domain 1,O00151,26186194,Homo sapiens,Protein Binding,"ACTN4,PDLIM1",,19q13.2,0
